Text 1	Text 2	Text 3	Sound 3	Text 4	Category 1	Category 2
今天星期几？	Quel jour de la semaine sommes-nous ?	今天星期几？	8edc304656e055e83156737ee00d5b82.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#26143;&#26399; [&#120;&#299;&#110;&#103;&#113;&#299;] &#115;&#101;&#109;&#97;&#105;&#110;&#101;	1	
今天是二零一五年十一月二十三号，星期一。	Nous sommes le lundi 23 novembre 2015.	今天是二零一五年十一月二十三号，星期一。	b685c0f28c4744a6dc4b54d2f3e1d6e7.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#21495;　　 [&#104;&#224;&#111;] &#106;&#111;&#117;&#114; &#100;&#117; &#109;&#111;&#105;&#115;, &#115;&#117;&#102;&#102;&#105;&#120;&#101; &#111;&#114;&#100;&#105;&#110;&#97;&#108;|&#26143;&#26399;&#19968; [&#120;&#299;&#110;&#103;&#113;&#299;&#121;&#299;] &#108;&#117;&#110;&#100;&#105;	2	
请问您的电话号码是什么？	S'il vous plaît, quel est votre numéro de téléphone ?	请问您的电话号码是什么？	6d3915545a915506f676d38c584d02e2.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#24744;　　　 [&#110;&#237;&#110;] &#118;&#111;&#117;&#115;|&#30005;&#35805;&#21495;&#30721; [&#100;&#105;&#224;&#110;&#104;&#117;&#224;&#104;&#224;&#111;&#109;&#462;] &#110;&#117;&#109;&#233;&#114;&#111; &#100;&#101; &#116;&#233;&#108;&#233;&#112;&#104;&#111;&#110;&#101;|&#21495;&#30721;　　 [&#104;&#224;&#111;&#109;&#462;] &#110;&#117;&#109;&#233;&#114;&#111;	3	
明年是二零一六年。	L'an prochain, [nous] serons en 2016.	明年是二零一六年。	7d9a640ebdfac7fa1724734e5c30d6e3.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#26126;&#24180; [&#109;&#237;&#110;&#103;&#110;&#105;&#225;&#110;] &#108;'&#97;&#110;&#110;&#233;&#101; &#112;&#114;&#111;&#99;&#104;&#97;&#105;&#110;&#101;	1	
对不起，我的电话没电了。	Désolé, mon téléphone n'a plus de batterie.	对不起，我的电话没电了。	433f260b8904ba24d846843b300bd838.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#23545;&#19981;&#36215; [&#100;&#117;&#236;&#98;&#117;&#113;&#464;] &#106;&#101; &#115;&#117;&#105;&#115; &#100;&#233;&#115;&#111;&#108;&#233;|&#30005;&#35805;　 [&#100;&#105;&#224;&#110;&#104;&#117;&#224;] &#116;&#233;&#108;&#233;&#112;&#104;&#111;&#110;&#101;|&#30005;　　 [&#100;&#105;&#224;&#110;] &#233;&#108;&#101;&#99;&#116;&#114;&#105;&#99;&#105;&#116;&#233;|&#27809;　　 [&#109;&#233;&#105;] &#110;&#101; &#112;&#97;&#115; (&#97;&#118;&#111;&#105;&#114;)	4	
今年我们在法德学院学中文。	Cette année, nous étudions le chinois à l'ISFATES.	今年我们在法德学院学中文。	bf3e3e36439e2de5b970865e91a8a8db.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#20170;&#24180;　　 [&#106;&#299;&#110;&#110;&#105;&#225;&#110;] &#99;&#101;&#116;&#116;&#101; &#97;&#110;&#110;&#233;&#101;|&#25105;&#20204;　　 [&#119;&#466;&#109;&#101;&#110;] &#110;&#111;&#117;&#115;|&#27861;&#24503;&#23398;&#38498; [&#102;&#462;&#100;&#233;&#120;&#117;&#233;&#121;&#117;&#224;&#110;] &#105;&#110;&#115;&#116;&#105;&#116;&#117;&#116; &#102;&#114;&#97;&#110;&#99;&#111;-&#97;&#108;&#108;&#101;&#109;&#97;&#110;&#100;|&#20013;&#25991;　　 [&#122;&#104;&#333;&#110;&#103;&#119;&#233;&#110;] &#108;&#97; &#108;&#97;&#110;&#103;&#117;&#101; &#99;&#104;&#105;&#110;&#111;&#105;&#115;&#101;	4	
王先生是一个英雄。	M. Roi est un héros.	王先生是一个英雄。	5db349a77d57c799d40ec63ac2d9c425.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#29579;　 [&#119;&#225;&#110;&#103;] &#114;&#111;&#105;, (&#112;&#97;&#116;&#114;&#111;&#110;&#121;&#109;&#101; &#108;&#101; &#112;&#108;&#117;&#115; &#99;&#111;&#117;&#114;&#97;&#110;&#116; &#101;&#110; &#67;&#104;&#105;&#110;&#101;)|&#33521;&#38596; [&#121;&#299;&#110;&#103;&#120;&#105;&#243;&#110;&#103;] &#104;&#233;&#114;&#111;&#115;	2	
圣诞节快乐。	Joyeux Noël!	圣诞节快乐。	65321c3dfcb5e395e08c8fbabfeaf88b.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#22307;&#35806;&#33410; [&#115;&#104;&#232;&#110;&#103;&#100;&#224;&#110;&#106;&#105;&#233;] &#102;&#234;&#116;&#101; &#100;&#101; &#78;&#111;&#235;&#108;	1	
生日快乐。	Joyeux anniversaire!	生日快乐。	a4f150dc763d3d57a01d525548af2a56.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#24555;&#20048; [&#107;&#117;&#224;&#105;&#108;&#232;] &#106;&#111;&#121;&#101;&#117;&#120;	1	
我的姐姐很喜欢喝英国茶。	Ma grande sœur aime beaucoup le thé anglais.	我的姐姐很喜欢喝英国茶。	226573880fc4b434ce4e3e83141f8835.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#21916;&#27426; [&#120;&#464;&#104;&#117;&#257;&#110;] &#97;&#105;&#109;&#101;&#114;, <&#101;&#109;>&#108;&#105;&#107;&#101;</&#101;&#109;>|&#33521;&#22269; [&#121;&#299;&#110;&#103;&#103;&#117;&#243;] &#82;&#111;&#121;&#97;&#117;&#109;&#101;-&#85;&#110;&#105;|&#33590;　 [&#99;&#104;&#225;] &#116;&#104;&#233;	3	
请喝咖啡。	Prenez du café, s'il vous plaît.	请喝咖啡。	fa68aec4e35b3de48141bbeee7a0e154.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#21917;　 [&#104;&#275;] &#98;&#111;&#105;&#114;&#101;|&#21654;&#21857; [&#107;&#257;&#102;&#275;&#105;] &#99;&#97;&#102;&#233;	2	
李先生不喝咖啡。	Monsieur Li ne boit pas de café.	李先生不喝咖啡。	eed18e25334564ebe1e8ee140f285a8c.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#20808;&#29983; [&#120;&#105;&#257;&#110;&#115;&#104;&#275;&#110;&#103;] &#109;&#111;&#110;&#115;&#105;&#101;&#117;&#114;	1	
那么，日本茶行不行？	Alors, du thé japonais, ça irait ou pas ?	那么，日本茶行不行？	04b3be78230f6f8c73260c920038d35d.m4a	&#86;&#111;&#99;&#97;&#98;&#117;&#108;&#97;&#105;&#114;&#101; :|&#37027;&#20040; [&#110;&#224;&#109;&#101;] &#100;&#97;&#110;&#115; &#99;&#101; &#99;&#97;&#115;, &#97;&#108;&#111;&#114;&#115;|&#26085;&#26412; [&#114;&#236;&#98;&#283;&#110;] &#74;&#97;&#112;&#111;&#110;|&#19981;&#34892; [&#98;&#249;&#120;&#237;&#110;&#103;] &#110;&#101; &#112;&#97;&#115; &#97;&#108;&#108;&#101;&#114; (&#98;&#105;&#101;&#110;)	3	
他妈的！	Merde! (litt. sa mère!)	他妈的！	4a31415a1a31e6b8ffa6e58bd6e8df78.m4a		0	
我爱你。	Je t'aime.	我爱你。	0a9b193984b5d5034adc305593bbf643.m4a		0	
